id,name,designer,publisher,artist,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,age,usersrated,average,bayesaverage,rank,rank_wg,numcomments,numweights,averageweight,stddev,median,owned,trading,wanting,wishing,userrating,image,category,mechanic,comment,1player,2player,3player,4player,5player,6player,7player,8player,9player,10player,11player,12player,13player,14player,15player,16player,17player,18player,19player,20player,description,exp,basegame,reimplement,reimplement_name,reimplemented,reimplemented_name,contains,contains_name,iscontained,iscontained_name,numplays,price,userweight,wishpriority,expansions,domain,family,age_poll
174430,"Gloomhaven","Isaac Childres","Cephalofair Games","Alexandr Elichev",2017,1,4,120,60,120,12,22175,8.91547,8.61724,1,0,4470,945,3.7735,1.6176,0,36516,182,1350,11564,,"C:\Users\jrkar\Documents\bgg1tool-1\img\174430.jpg","Adventure\13\Exploration\13\Fantasy\13\Fighting\13\Miniatures","Campaign / Battle Card Driven\13\Cooperative Play\13\Grid Movement\13\Hand Management\13\Modular Board\13\Role Playing\13\Simultaneous Action Selection\13\Storytelling\13\Variable Player Powers","",R,R,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching sto...",N,0,,"",,"",,"",,"",0,163.95,0,0,"250337\13\226868\13\231934","Strategy Games\13\Thematic Games","Campaign Games\13\Components: Miniatures\13\Crowdfunding: Kickstarter\13\Gloomhaven Universe\13\Legacy\13\Solitaire Games",12.72
161936,"Pandemic Legacy: Season 1","Rob Daviau","Z-Man Games","Chris Quilliams",2015,2,4,60,60,60,13,29614,8.65082,8.49323,2,0,4758,844,2.8341,1.6151,0,47360,220,767,8220,,"C:\Users\jrkar\Documents\bgg1tool-1\img\161936.png","Environmental\13\Medical","Action Point Allowance System\13\Cooperative Play\13\Hand Management\13\Point to Point Movement\13\Set Collection\13\Trading\13\Variable Player Powers","",N,R,R,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand.During a player's turn, they have four actions available, with which they may t...",N,0,30549,"Pandemic",221107,"Pandemic Legacy: Season 2",,"",,"",0,42.22,0,0,"","Strategy Games\13\Thematic Games","Campaign Games\13\Legacy\13\Pandemic",11.30
182028,"Through the Ages: A New Story of Civilization","Vlaada Chvátil","Czech Games Edition","Filip Murmak",2015,2,4,120,120,120,14,14717,8.55301,8.27248,3,0,2149,721,4.3731,1.49065,0,18418,234,1044,6267,,"C:\Users\jrkar\Documents\bgg1tool-1\img\182028.jpg","Card Game\13\Civilization\13\Economic","Action Point Allowance System\13\Auction/Bidding\13\Card Drafting","",N,R,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Through the Ages: A New Story of Civilization is the new edition of Through the Ages: A Story of Civilization, with many changes small and large to the game's cards over its three ages and extensive changes to how military works.Through the Ages is a civilization building game. Each player attempts to build the best civilization through careful resource management, discovering new technologies, electing the right leaders, building wonders and maintaining a strong military. Weakness in any area can be exploi...",N,0,25613,"Through the Ages: A Story of Civilization",,"",,"",,"",0,38.89,0,0,"","Strategy Games","Tableau Building",14.00
167791,"Terraforming Mars","Jacob Fryxelius","FryxGames","Isaac Fryxelius",2016,1,5,120,120,120,12,34991,8.39817,8.22903,4,0,5308,1256,3.2373,1.35546,0,44858,214,2041,12485,,"C:\Users\jrkar\Documents\bgg1tool-1\img\167791.jpg","Economic\13\Environmental\13\Industry / Manufacturing\13\Science Fiction\13\Space Exploration\13\Territory Building","Card Drafting\13\Hand Management\13\Set Collection\13\Take That\13\Tile Placement\13\Variable Player Powers","",R,R,B,B,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure through...",N,0,,"",,"",,"",,"",0,61.36,0,0,"265081\13\241497\13\255681\13\218127\13\265083\13\265084\13\230241\13\247030\13\230123\13\202825\13\226297\13\231965","Strategy Games","Fryxgames' Future Timeline\13\Planets: Mars\13\Solar System\13\Solitaire Games\13\Tableau Building\13\Terraforming Mars",11.89
12333,"Twilight Struggle","Ananda Gupta","GMT Games","Viktor Csete",2005,2,2,180,120,180,13,33417,8.32906,8.18164,5,1,7602,3200,3.5625,1.58714,0,45851,724,1355,8781,,"C:\Users\jrkar\Documents\bgg1tool-1\img\012333.jpg","Modern Warfare\13\Political\13\Wargame","Area Control / Area Influence\13\Campaign / Battle Card Driven\13\Dice Rolling\13\Hand Management\13\Simultaneous Action Selection","",N,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"\34\Now the trumpet summons us again, not as a call to bear arms, though arms we need; not as a call to battle, though embattled we are - but a call to bear the burden of a long twilight struggle...\34\- John F. KennedyIn 1945, unlikely allies toppled Hitler's war machine, while humanity's most devastating weapons forced the Japanese Empire to its knees in a storm of fire. Where once there stood many great powers, there then stood only two. The world had scant months to sigh its collective relief before a n...",N,0,,"",,"",,"",,"",0,47.34,0,0,"117145\13\227688\13\151546\13\123262\13\190581\13\199869\13\163247\13\224686","Strategy Games\13\Wargames","Country: Soviet Union\13\Country: USA\13\Historical Figures:  Fidel Castro\13\Theme:  Cold War",14.26
187645,"Star Wars: Rebellion","Corey Konieczka","Fantasy Flight Games (FFG)","Matt Allsopp",2016,2,4,240,180,240,14,15670,8.45434,8.16302,6,0,2539,523,3.673,1.37387,0,23904,192,1326,7728,,"C:\Users\jrkar\Documents\bgg1tool-1\img\187645.jpg","Fighting\13\Miniatures\13\Movies / TV / Radio theme\13\Science Fiction\13\Wargame","Area Control / Area Influence\13\Area Movement\13\Dice Rolling\13\Hand Management\13\Partnerships\13\Variable Player Powers","",N,B,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"From the publisher:Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players!Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you'll need to adjust your play st...",N,0,,"",,"",,"",,"",0,69.65,0,0,"226840","Strategy Games\13\Thematic Games","Components: Miniatures\13\Star Wars",12.41
169786,"Scythe","Jamey Stegmaier","Stonemaier Games","Jakub Rozalski",2016,1,5,115,90,115,14,36518,8.29105,8.11514,7,0,5824,1397,3.3708,1.42198,0,47614,271,1850,12833,,"C:\Users\jrkar\Documents\bgg1tool-1\img\169786.jpg","Economic\13\Fighting\13\Science Fiction\13\Territory Building","Area Control / Area Influence\13\Grid Movement\13\Variable Player Powers","",R,R,R,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"It is a time of unrest in 1920s Europa. The ashes from the first great war still darken the snow. The capitalistic city-state known simply as \34\The Factory\34\, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries.Scythe is an engine-building game set in an alternate-history 1920s period. It is a time of farming and war, broken hearts and rusted gears, innovation and valor. In Scythe, each player represents a character from one of five fa...",N,0,,"",226320,"My Little Scythe",,"",,"",0,149.52,0,0,"262151\13\199727\13\211731\13\221033\13\232176\13\232087\13\237663\13\205121\13\211732\13\211733\13\212879\13\204984\13\242277\13\223555","Strategy Games","Alternate History\13\Components: Miniatures\13\Crowdfunding: Kickstarter\13\Scythe\13\Solitaire Games\13\Tableau Building",12.12
220308,"Gaia Project","Jens Drögemüller","Feuerland Spiele","Dennis Lohausen",2017,1,4,150,60,150,12,8044,8.58041,8.11206,8,0,1218,530,4.2981,1.4211,0,10019,50,1110,5753,,"C:\Users\jrkar\Documents\bgg1tool-1\img\220308.jpg","Civilization\13\Economic\13\Science Fiction\13\Space Exploration\13\Territory Building","Area Control / Area Influence\13\Modular Board\13\Route/Network Building\13\Variable Player Powers","",R,R,B,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Gaia Project is a new game in the line of Terra Mystica. As in the original Terra Mystica, fourteen different factions live on seven different kinds of planets, and each faction is bound to their own home planets, so to develop and grow, they must terraform neighboring planets into their home environments in competition with the other groups. In addition, Gaia planets can be used by all factions for colonization, and Transdimensional planets can be changed into Gaia planets.All factions can improve their sk...",N,0,120677,"Terra Mystica",,"",,"",,"",0,60.56,0,0,"","Strategy Games","Solitaire Games\13\Tableau Building\13\Terra Mystica",13.18
193738,"Great Western Trail","Alexander Pfister","eggertspiele","Andreas Resch",2016,2,4,150,75,150,12,17527,8.28454,8.07135,9,0,2385,680,3.6926,1.25065,0,21387,103,1595,6732,,"C:\Users\jrkar\Documents\bgg1tool-1\img\193738.jpg","American West\13\Animals","Deck / Pool Building\13\Hand Management\13\Point to Point Movement\13\Set Collection","",N,R,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Description from the publisher:America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the \34\Great Western Trail\34\ not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. Also, it might be a good idea...",N,0,,"",,"",,"",,"",0,52.29,0,0,"256951\13\232298\13\264228\13\225704\13\245744\13\238620","Strategy Games","Animals: Cattle\13\Great Western Trail\13\Stronghold Games: The Great Designers Series",12.71
120677,"Terra Mystica","Jens Drögemüller","Feuerland Spiele","Dennis Lohausen",2012,2,5,150,60,150,12,31669,8.20506,8.05799,10,0,4868,2245,3.951,1.46765,0,35021,509,1700,10527,,"C:\Users\jrkar\Documents\bgg1tool-1\img\120677.jpg","Civilization\13\Economic\13\Fantasy\13\Territory Building","Area Control / Area Influence\13\Route/Network Building\13\Variable Phase Order\13\Variable Player Powers","",N,R,R,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"In the land of Terra Mystica dwell 14 different peoples in seven landscapes, and each group is bound to its own home environment, so to develop and grow, they must terraform neighboring landscapes into their home environments in competition with the other groups.Terra Mystica is a full information game without any luck that rewards strategic planning. Each player governs one of the 14 groups. With subtlety and craft, the player must attempt to rule as great an area as possible and to develop that group's sk...",N,0,,"",220308,"Gaia Project",,"",181289,"Terra Mystica: Big Box",0,55.63,0,0,"149890\13\150740\13\184895\13\161317","Strategy Games","Tableau Building\13\Terra Mystica",12.70
