id,name,designer,publisher,artist,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,age,usersrated,average,bayesaverage,rank,rank_wg,numcomments,numweights,averageweight,stddev,median,owned,trading,wanting,wishing,userrating,image,category,mechanic,comment,1player,2player,3player,4player,5player,6player,7player,8player,9player,10player,11player,12player,13player,14player,15player,16player,17player,18player,19player,20player,description,exp,basegame,reimplement,reimplement_name,reimplemented,reimplemented_name,contains,contains_name,iscontained,iscontained_name,numplays,price,userweight,wishpriority,expansions,domain,family,age_poll,"Adventure","Exploration","Negotiation","Fantasy","Miniatures","Nautical","Pirates","Bluffing","Deduction","Murder/Mystery","Card Game","Educational","Political","Fighting","Medieval","Abstract Strategy","Ancient","Territory Building","Action / Dexterity","Children's Game","Puzzle","Real-time","Dice","Video Game Theme","American Revolutionary War","Napoleonic","Wargame","Religious","Renaissance","Economic","Transportation","Animals","Humor","Horror","Zombies","Auction/Bidding","Card Drafting","Hand Management","Point to Point Movement","Set Collection","Action Point Allowance System","Area Control / Area Influence","Dice Rolling","Grid Movement","Variable Player Powers","Deck / Pool Building","Partnerships","Cooperative Play","Simulation","Area Enclosure","Tile Placement","Pattern Building","Worker Placement","Voting","Action / Movement Programming","Player Elimination","Simultaneous Action Selection","Pick-up and Deliver","Route/Network Building","Stock Holding","Memory","Trading","Family Games","Thematic Games","Wargames","Strategy Games","Abstract Games","Tropical theme","Crowdfunding: Kickstarter","Rum & Bones","Police Precinct","Solitaire Games","Political: Elections","Admin: Better Description Needed!","Asian Theme","BANG!","Country: Japan","Ninja","Samurai","Country: China","Blue Orange Games Mad Scientist Series","Alea Medium Box","Ancient Rome","Ystari originals","Sails of Glory","Cities: Florence","Country: Italy","Oil, Gas, and Petroleum","Ravensburger Kartenspiele"
68182,"Isla Dorada","Andrea Angiolino","Funforge","Georges Bouchelaghem",2010,3,6,60,60,60,10,2270,6.73875,6.2859,1350,0,617,144,2.1667,1.32119,0,3070,146,130,588,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\068182.jpg","Adventure\13\Exploration\13\Negotiation","Auction/Bidding\13\Card Drafting\13\Hand Management\13\Point to Point Movement\13\Set Collection","",N,N,R,B,B,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"In the middle of the 1930s, an expedition of treasure hunters crashes its zeppelin in the middle of an unknown and mysterious island where legends tell that several old and powerful civilizations have left many sumptuous treasures.Each player is one of these brave explorers who joined the expedition with old maps giving clues on where some of these treasures can be found. However, it is clear that the land is barely known and dangerous, so, all explorers decide to travel together, in one solid group by hiri...",N,0,,"",,"",,"",,"",0,23.03,0,0,"","Family Games","Tropical theme",8.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168788,"Rum & Bones","Michael Shinall","CMON Limited","Jose David Lanza Cebrian",2015,2,6,60,60,60,14,1446,7.02885,6.28588,1351,447,372,52,2.2885,1.47587,0,3288,101,168,995,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\168788.jpg","Fantasy\13\Miniatures\13\Nautical\13\Pirates","Action Point Allowance System\13\Area Control / Area Influence\13\Dice Rolling\13\Grid Movement\13\Variable Player Powers","",N,B,P,R,P,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Avast ye pirates! Gather your crews and set sail for adventure on the high seas in Rum & Bones!Based on online MOBA (Multiplayer Online Battle Arena) style games, Rum & Bones has 2-6 players taking control of legendary pirate heroes, each with unique powers and abilities, as their crews fight over Davy Jones' legendary treasure!Players will each control up to five heroes at any time, moving them across the game board in an attempt to destroy various key features across their opponents ship. Victory is obtai...",N,0,40604,"Ron _T_E_M_P_T_A_G_amp; Bones",,"",,"",,"",0,155.24,0,0,"184174\13\183919\13\183921\13\181631\13\184183\13\184189\13\186306\13\181632\13\184182\13\184184\13\183918\13\183915\13\183917\13\207116\13\184195\13\186305\13\184187\13\184180\13\183920","Thematic Games\13\Wargames","Crowdfunding: Kickstarter\13\Rum & Bones",11.60,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218479,"Cerebria: The Inside World","Richard Amann","Angry Lion Games","Pedro A. Alberto",2018,1,4,120,60,120,14,657,7.99787,6.28512,1352,0,245,82,4.2195,1.6284,0,1822,19,149,904,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\218479.png","Fantasy","Action Point Allowance System\13\Area Control / Area Influence\13\Deck / Pool Building\13\Hand Management\13\Partnerships\13\Point to Point Movement\13\Variable Player Powers","",R,B,R,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Cerebria is a dynamic, team-based, objective-driven area control game, where players play as Spirits, powerful entities representing Bliss or Gloom. These opposing forces - the two sides of human nature - struggle to control and shape the Inside World, the metaphorical representation of an evolving personality. Cerebria introduces a unique theme and numerous innovative mechanisms. The game is centered around the player-controlled Spirits, and the Emotion cards controlling Cerebria's areas, each with their o...",N,0,,"",,"",,"",236781,"Cerebria: The Inside World – Origin Box",0,122.18,0,0,"259988","Strategy Games","Crowdfunding: Kickstarter",15.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118536,"Police Precinct","Ole Steiness","Common Man Games","George Patsouras",2013,1,6,90,90,90,13,1491,6.96436,6.28375,1353,0,512,84,2.5357,1.42684,0,3073,179,208,1043,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\118536.jpg","Bluffing\13\Deduction\13\Murder/Mystery\13\Negotiation","Cooperative Play\13\Dice Rolling\13\Hand Management\13\Point to Point Movement\13\Variable Player Powers","",R,R,B,B,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Police Precinct is a cooperative/semi-cooperative game where players are tasked with solving a mysterious murder while simultaneously working to keep crime on the streets under control, and to keep the city from falling into chaos.Players take on the role of police officers with different areas of expertise.  The players work together to solve the mystery by collecting evidence and eventually arresting the suspect.Complicating matters is the fact that there may or may not be a corrupt officer that is being ...",N,0,,"",,"",,"",,"",0,40.18,0,0,"199000\13\175470\13\203707\13\157941\13\251308\13\190868\13\136392\13\235028\13\203708\13\228670\13\149696\13\149243\13\154552\13\198997","Thematic Games","Crowdfunding: Kickstarter\13\Police Precinct\13\Solitaire Games",10.40,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46255,"Campaign Manager 2008","Christian Leonhard","Gen-X Games","Josh Cappel",2009,2,2,50,50,50,10,2474,6.67261,6.28287,1354,0,807,195,2.2103,1.31087,0,2950,328,52,254,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\046255.jpg","Card Game\13\Educational\13\Political","Area Control / Area Influence\13\Card Drafting\13\Dice Rolling\13\Hand Management\13\Simulation","",N,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Campaign Manager 2008 challenges players to develop a winning political strategy within the tumultuous context of the 2008 presidential campaign. Employing a new take on card driven game systems, each player will create a unique deck that represents their advice to their candidate. The players will struggle to influence voters in the critical swing states from this election, while targeting key constituencies that just might put them over the top. Players will try to define the key issue in the states. Will...",N,0,,"",200834,"Sola Fide: The Reformation",,"",,"",0,10.13,0,0,"","Strategy Games","Political: Elections",11.80,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128667,"Samurai Sword","Emiliano Sciarra","dV Giochi","Werther Dell'Edera",2012,3,7,40,20,40,8,2770,6.70038,6.28251,1355,0,603,143,1.7483,1.34335,0,4684,220,59,534,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\128667.jpg","Bluffing\13\Card Game\13\Deduction\13\Fighting\13\Medieval","Hand Management\13\Partnerships\13\Variable Player Powers","",N,N,P,P,R,R,B,N,N,N,N,N,N,N,N,N,N,N,N,N,"Game description from the publisher:Samurai Sword is a game based on the proven Bang! mechanisms and set in feudal Japan. In this game, the familiar features of Bang! are enhanced by more dynamic and fast-paced game play, and thanks to a new scoring system - based on honor points and resilience points - there is no player elimination. Everybody gets to fight to the very end! Also, weapons and attacks are fused into a single card.",N,0,3955,"BANG!",,"",,"",,"",0,12.18,0,0,"157952\13\156042","Family Games","Admin: Better Description Needed!\13\Asian Theme\13\BANG!\13\Country: Japan\13\Ninja\13\Samurai",8.92,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
127997,"Qin","Reiner Knizia","eggertspiele","Dennis Lohausen",2012,2,4,30,30,30,8,1867,6.79987,6.28242,1356,0,456,117,2.0171,1.15537,0,2273,72,94,370,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\127997.jpg","Abstract Strategy\13\Ancient\13\Territory Building","Area Control / Area Influence\13\Area Enclosure\13\Hand Management\13\Tile Placement","",N,R,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"In Qin players colonize the Chinese hinterland, seize territories, and expand their influence by placing tiles and pagodas.A move is simple: You choose one out of three tiles from your hand, place it onto the grid of the board, then draw a new tile. Each tile shows two landscapes. If you create a territory that consists of at least two spaces of the same landscape, you seize it. You can also expand your territories, take over territories from other players, and connect your territories to villages on the bo...",N,0,,"",,"",,"",,"",0,22.87,0,0,"149191","Abstract Games\13\Family Games","Asian Theme\13\Country: China",9.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181345,"Dr. Eureka","Roberto Fraga","Bard Centrum Gier","Stéphane Escapa",2015,1,4,15,15,15,8,2326,6.70074,6.28212,1357,0,501,33,1.0909,1.15951,0,4276,94,83,460,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\181345.jpg","Action / Dexterity\13\Children's Game\13\Puzzle\13\Real-time","Pattern Building","",P,B,B,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"The brilliant Dr. Eureka has important experiments for you to complete! You must solve his scientific formulas by mixing the molecules from tube to tube without touching them with your bare hands. Transfer your molecules faster than your competition in Dr. Eureka to prove you're the smartest scientist in the lab...",N,0,,"",,"",,"",,"",0,10.36,0,0,"","Family Games","Blue Orange Games Mad Scientist Series",5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40760,"Alea Iacta Est","Jeffrey D. Allers","alea","Patrick Rennwanz",2009,2,5,60,60,60,9,2583,6.64309,6.282,1358,0,831,213,1.9108,1.12717,0,2741,97,158,481,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\040760.jpg","Ancient\13\Dice","Area Control / Area Influence\13\Dice Rolling\13\Set Collection\13\Worker Placement","",N,R,R,R,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Alea Iacta Est is Latin for \34\The Die is Cast\34\.Players take on the role of Caesar and compete for the most prestige points.  This happens by clever placement of his/her eight dice, which are placed on five different buildings.At the Castrum (barracks), new provinces can  be conquered,  while patricians can be recruited at the Forum Romanum to be sent to those provinces.  At the Senatus, cards can be won for bonuses that will be kept secret until the end of the game.  The Templum awards prestige points ...",N,0,,"",200924,"Order of the Gilded Compass",,"",,"",0,23.63,0,0,"","Family Games\13\Strategy Games","Alea Medium Box\13\Ancient Rome",8.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35761,"Sylla","Dominique Ehrhard","Ystari Games","Arnaud Demaegd",2008,3,4,90,60,90,12,1937,6.77094,6.28054,1359,0,641,184,3.1196,1.24236,0,3363,250,69,332,,"C:\Users\jrkar\CapstoneProject\bgg1tool (1)\img\035761.jpg","Ancient","Auction/Bidding\13\Card Drafting\13\Voting","",N,N,R,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Sylla was the name of a Roman Consul and dictator; the name of the game is a reference to his person. The designer tried to bring together \34\Res Publica Romana\34\ and \34\Saint Petersburg,\34\ furthermore playable in one hour.The players will try to become the premier Consul of Rome. Each of the five years (turns) is subdivided into seven phases in which the players take their actions. It will be semi-cooperative as one player alone cannot influence all parts of the Roman social or political life. They a...",N,0,,"",,"",,"",,"",0,19.20,0,0,"150638\13\47156","Strategy Games","Admin: Better Description Needed!\13\Ancient Rome\13\Ystari originals",13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
